model,hr@5,mrr@5,hr@10,mrr@10,hr@20,mrr@20
MarkovChain,0.03,0.015,0.048,0.017290873015873016,0.087,0.019736532761184464
FPMC,0.032,0.014416666666666664,0.057,0.01752738095238095,0.099,0.020364934592411375
