model,precision@5,recall@5,ndcg@5,hr@5,precision@10,recall@10,ndcg@10,hr@10,precision@20,recall@20,ndcg@20,hr@20
UserBasedCF,0.1717314487632509,0.08445654878006513,0.17939782563544404,0.4204946996466431,0.15618374558303888,0.15102596004238733,0.18535418795479738,0.5335689045936396,0.12915194346289752,0.2655040503721579,0.21348597145594375,0.6360424028268551
ItemBasedCF,0.03604240282685512,0.029196111620592397,0.039193204626211814,0.1413427561837456,0.04063604240282685,0.05186097386512848,0.048994792443401214,0.2579505300353357,0.04522968197879859,0.12313579131926987,0.07245944231390146,0.4204946996466431
