round,reward,cumulative_reward,cumulative_regret,avg_reward
1,0.16,0.16,0.315,0.16
2,0.3546,0.5146,0.4062,0.2573
3,0.1089,0.6234,0.7212,0.2078
4,0.4511,1.0745,0.7912,0.2686
5,0.3603,1.4348,0.9395,0.287
50,0.2062,15.5537,9.2933,0.3111
100,0.2596,33.8252,16.9236,0.3383
150,0.4409,51.5099,25.2342,0.3434
200,0.1673,68.6188,33.8654,0.3431
